playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8478402,2016,Connor McDavid,2016030181,EDM,S.J,HOME,20170412,C,other,82.0,1.0,0.69,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.791,0.093,0.062,0.112,0.024,0.329,0.381,0.093,0.093,0.093,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.093,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.015,0.0,0.0,0.108,0.108,0.108,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,1.978,0.223,0.218,0.223,0.218,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.13,0.093,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.035,0.0,0.0,0.258,0.258,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8478402,2016,Connor McDavid,2016030181,EDM,S.J,HOME,20170412,C,all,1282.0,25.0,0.69,0.6217,0.1216,0.6,0.2111,0.5769,0.2206,2.0,2.261,0.272,0.168,0.36,0.062,1.171,0.967,0.272,0.272,0.272,0.0,1.0,2.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.272,0.0,0.0,0.0,0.0,5.022,3.0,3.077,0.0,0.038,0.0,0.0,0.31,0.31,0.31,25.0,2.0,2.0,5.0,16.0,5.0,4.0,2.0,14.0,3.0,4.0,2520.0,0.0,0.0,0.0,0.0,10.489,1.188,1.159,1.186,1.158,7.0,8.0,9.0,24.0,1.0,1.0,1.0,7.0,8.0,0.0,0.291,0.896,0.0,0.0,1.0,0.0,24.348,15.0,15.214,0.18,0.143,0.143,1.225,1.223,1.208,6.944,0.723,0.701,0.752,0.729,7.0,4.0,5.0,16.0,0.0,3.0,0.0,9.0,2.0,0.0,0.399,0.324,0.0,0.0,0.0,0.0,16.124,11.0,11.137,0.112,0.369,0.369,0.466,0.481,0.477,0.522,3.772,19.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
8478402,2016,Connor McDavid,2016030181,EDM,S.J,HOME,20170412,C,5on5,892.0,17.0,0.69,0.3909,0.1785,0.5,0.2982,0.3889,0.3256,3.0,1.47,0.18,0.106,0.248,0.038,0.842,0.586,0.18,0.179,0.179,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,3.022,2.0,2.077,0.0,0.022,0.0,0.0,0.202,0.202,0.202,17.0,0.0,1.0,4.0,12.0,3.0,3.0,1.0,10.0,2.0,3.0,1794.0,0.0,0.0,0.0,0.0,4.86,0.464,0.463,0.462,0.461,4.0,3.0,7.0,14.0,0.0,0.0,0.0,4.0,3.0,0.0,0.118,0.345,0.0,0.0,0.0,0.0,14.348,7.0,7.214,0.072,0.0,0.0,0.536,0.533,0.533,6.944,0.723,0.701,0.752,0.729,7.0,4.0,3.0,14.0,0.0,3.0,0.0,9.0,2.0,0.0,0.399,0.324,0.0,0.0,0.0,0.0,14.124,11.0,11.137,0.112,0.369,0.369,0.466,0.481,0.477,0.46,2.117,17.0,40.0,0.0,0.022,0.0,1.0,0.0,1.0
8478402,2016,Connor McDavid,2016030181,EDM,S.J,HOME,20170412,C,4on5,89.0,5.0,0.69,0.0,0.0627,0.3333,0.0645,0.0,0.0435,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.927,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
8478402,2016,Connor McDavid,2016030181,EDM,S.J,HOME,20170412,C,5on4,219.0,2.0,0.69,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,59.0,0.0,0.0,0.0,0.0,3.651,0.501,0.478,0.501,0.478,3.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,4.0,0.0,0.042,0.458,0.0,0.0,1.0,0.0,6.0,5.0,5.0,0.074,0.143,0.143,0.431,0.431,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8478402,2016,Connor McDavid,2016030182,EDM,S.J,HOME,20170414,C,other,37.0,1.0,1.7,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.503,0.53,0.53,0.53,0.53,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.53,0.0,0.0,0.0,1.0,1.0,1.0,0.003,0.0,0.0,0.532,0.532,0.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8478402,2016,Connor McDavid,2016030182,EDM,S.J,HOME,20170414,C,all,1252.0,28.0,1.7,0.9505,0.8159,0.8222,0.5882,0.7692,0.6957,1.0,1.59,0.138,0.068,0.248,0.048,0.638,0.86,0.138,0.138,0.138,0.0,0.0,2.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,2.0,2.0,1.0,1.0,0.0,0.042,0.095,0.0,1.0,0.0,0.0,4.996,2.0,2.038,2.0,0.015,0.0,0.0,0.152,0.152,0.152,28.0,6.0,6.0,1.0,15.0,4.0,4.0,3.0,17.0,2.0,2.0,2348.0,0.0,0.0,0.0,0.0,14.029,2.284,2.1,2.283,2.099,13.0,7.0,17.0,37.0,1.0,1.0,0.0,9.0,8.0,3.0,0.253,0.796,1.235,1.0,0.0,0.0,37.214,20.0,20.241,0.267,0.284,0.284,2.267,2.266,2.046,4.589,0.119,0.119,0.123,0.123,6.0,0.0,2.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,8.039,6.0,6.025,0.045,0.0,0.0,0.164,0.168,0.168,2.181,0.492,40.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
8478402,2016,Connor McDavid,2016030182,EDM,S.J,HOME,20170414,C,5on5,736.0,14.0,1.7,0.8599,0.8379,0.8636,0.6087,0.7273,0.7188,2.0,0.817,0.095,0.048,0.13,0.027,0.413,0.287,0.095,0.095,0.095,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,1.996,1.0,1.038,0.0,0.01,0.0,0.0,0.106,0.106,0.106,14.0,1.0,2.0,1.0,10.0,1.0,4.0,1.0,8.0,1.0,2.0,1643.0,0.0,0.0,0.0,0.0,6.111,0.589,0.586,0.588,0.585,6.0,2.0,11.0,19.0,0.0,1.0,0.0,5.0,2.0,1.0,0.119,0.186,0.284,0.0,0.0,0.0,19.214,8.0,8.241,0.089,0.284,0.284,0.395,0.393,0.393,2.258,0.096,0.096,0.1,0.1,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,3.039,3.0,3.025,0.02,0.0,0.0,0.116,0.121,0.121,1.421,0.275,28.0,18.0,0.017,0.0,1.0,0.0,1.0,0.0
8478402,2016,Connor McDavid,2016030182,EDM,S.J,HOME,20170414,C,4on5,191.0,9.0,1.7,0.981,0.9368,0.4,0.4375,0.5,0.6,5.0,0.773,0.042,0.02,0.118,0.021,0.225,0.573,0.042,0.042,0.042,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.042,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.004,0.0,0.0,0.047,0.047,0.047,9.0,1.0,3.0,0.0,5.0,1.0,0.0,1.0,7.0,1.0,0.0,529.0,0.0,0.0,0.0,0.0,1.657,0.464,0.464,0.464,0.464,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.042,0.0,0.422,1.0,0.0,0.0,2.0,2.0,2.0,0.015,0.0,0.0,0.479,0.479,0.479,1.462,0.009,0.009,0.009,0.009,2.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.022,0.0,0.0,0.031,0.031,0.031,0.534,0.036,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8478402,2016,Connor McDavid,2016030182,EDM,S.J,HOME,20170414,C,5on4,288.0,4.0,1.7,0.9804,1.0,0.9375,1.0,0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,5.759,0.701,0.521,0.701,0.521,5.0,4.0,6.0,15.0,0.0,0.0,0.0,3.0,6.0,0.0,0.092,0.609,0.0,0.0,0.0,0.0,15.0,9.0,9.0,0.16,0.0,0.0,0.861,0.861,0.642,0.869,0.014,0.014,0.014,0.014,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.003,0.0,0.0,0.017,0.017,0.017,0.226,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
