id,name,link,venue/name,venue/link,venue/city,venue/timeZone/id,venue/timeZone/offset,venue/timeZone/tz,abbreviation,teamName,locationName,firstYearOfPlay,division/id,division/name,division/nameShort,division/link,division/abbreviation,conference/id,conference/name,conference/link,franchise/franchiseId,franchise/teamName,franchise/link,shortName,officialSiteUrl,franchiseId,active,venue/id
1,New Jersey Devils,/api/v1/teams/1,Prudential Center,/api/v1/venues/null,Newark,America/New_York,-4,EDT,NJD,Devils,New Jersey,1982,18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,23,Devils,/api/v1/franchises/23,New Jersey,http://www.newjerseydevils.com/,23,true,
2,New York Islanders,/api/v1/teams/2,UBS Arena,/api/v1/venues/null,Elmont,America/New_York,-4,EDT,NYI,Islanders,New York,1972,18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,22,Islanders,/api/v1/franchises/22,NY Islanders,http://www.newyorkislanders.com/,22,true,
3,New York Rangers,/api/v1/teams/3,Madison Square Garden,/api/v1/venues/5054,New York,America/New_York,-4,EDT,NYR,Rangers,New York,1926,18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,10,Rangers,/api/v1/franchises/10,NY Rangers,http://www.newyorkrangers.com/,10,true,5054
4,Philadelphia Flyers,/api/v1/teams/4,Wells Fargo Center,/api/v1/venues/5096,Philadelphia,America/New_York,-4,EDT,PHI,Flyers,Philadelphia,1967,18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,16,Flyers,/api/v1/franchises/16,Philadelphia,http://www.philadelphiaflyers.com/,16,true,5096
5,Pittsburgh Penguins,/api/v1/teams/5,PPG Paints Arena,/api/v1/venues/5034,Pittsburgh,America/New_York,-4,EDT,PIT,Penguins,Pittsburgh,1967,18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,17,Penguins,/api/v1/franchises/17,Pittsburgh,http://pittsburghpenguins.com/,17,true,5034
6,Boston Bruins,/api/v1/teams/6,TD Garden,/api/v1/venues/5085,Boston,America/New_York,-4,EDT,BOS,Bruins,Boston,1924,17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,6,Bruins,/api/v1/franchises/6,Boston,http://www.bostonbruins.com/,6,true,5085
7,Buffalo Sabres,/api/v1/teams/7,KeyBank Center,/api/v1/venues/5039,Buffalo,America/New_York,-4,EDT,BUF,Sabres,Buffalo,1970,17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,19,Sabres,/api/v1/franchises/19,Buffalo,http://www.sabres.com/,19,true,5039
8,Montréal Canadiens,/api/v1/teams/8,Bell Centre,/api/v1/venues/5028,Montréal,America/Montreal,-4,EDT,MTL,Canadiens,Montréal,1909,17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,1,Canadiens,/api/v1/franchises/1,Montréal,http://www.canadiens.com/,1,true,5028
9,Ottawa Senators,/api/v1/teams/9,Canadian Tire Centre,/api/v1/venues/5031,Ottawa,America/New_York,-4,EDT,OTT,Senators,Ottawa,1990,17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,30,Senators,/api/v1/franchises/30,Ottawa,http://www.ottawasenators.com/,30,true,5031
10,Toronto Maple Leafs,/api/v1/teams/10,Scotiabank Arena,/api/v1/venues/null,Toronto,America/Toronto,-4,EDT,TOR,Maple Leafs,Toronto,1917,17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,5,Maple Leafs,/api/v1/franchises/5,Toronto,http://www.mapleleafs.com/,5,true,
